Date,Temp_Mean_C,Temp_Max_C,Temp_Min_C,Condition,Humidity_Percent,Wind_kmh
06-01-2023,33.7,36.4,31.5,sunny,43,24.1
06-02-2023,33.3,36.2,30.8,sunny,40,26.5
06-03-2023,33.5,36.4,30.5,sunny,41,24.8
06-04-2023,32.7,36.8,28.1,dusty,48,15.2
06-05-2023,32.2,36.3,28.5,sunny,58,11.5
06-06-2023,32.5,37.6,29.1,sunny,59,10.6
06-07-2023,34.6,39.9,31.2,sunny,41,15.6
06-08-2023,36.5,45.2,32.5,sunny,38,11.5
06-09-2023,35.7,40.4,32.1,sunny,37,13.9
06-10-2023,35.6,38.4,32.1,sunny,37,19.4
06-11-2023,36.5,39.8,32.5,sunny,33,13.5
06-12-2023,38.3,45.8,32.5,sunny,32,10.4
06-13-2023,37.5,41.8,33.6,sunny,33,13.5
06-14-2023,35.6,38.0,33.8,sunny,40,36.5
06-15-2023,35.4,37.6,33.3,sunny,42,30.4
06-16-2023,35.9,40.4,32.5,sunny,36,21.7
06-17-2023,34.7,37.8,31.3,sunny,41,24.3
06-18-2023,33.9,38.2,30.4,sunny,45,15.0
06-19-2023,34.1,38.0,31.0,sunny,44,21.7
06-20-2023,34.1,37.4,30.9,sunny,46,23.3
06-21-2023,33.8,36.5,31.0,sunny,47,24.6
06-22-2023,34.2,36.9,31.9,sunny,47,23.9
06-23-2023,35.5,39.0,31.7,sunny,38,19.6
06-24-2023,37.4,40.2,34.2,sunny,28,19.4
06-25-2023,36.8,40.3,33.3,sunny,32,22.6
06-26-2023,35.6,40.8,31.9,sunny,36,14.4
06-27-2023,33.9,38.3,29.5,sunny,56,10.2
06-28-2023,34.8,39.6,30.4,sunny,42,13.1
06-29-2023,35.4,39.8,31.6,sunny,37,15.4
06-30-2023,36.7,40.9,32.6,sunny,27,15.0
